FIPS,Province_State,Country_Region,Date,Lat,Long_,Combined_Key,People_Fully_Vaccinated,People_Partially_Vaccinated
10.0,Delaware,US,2022-04-17,39.3185,-75.5071,"Delaware, US",669700.0,136492.0
42.0,Pennsylvania,US,2022-04-18,40.5908,-77.2098,"Pennsylvania, US",8718080.0,2104320.0
29.0,Missouri,US,2022-04-18,38.4561,-92.2884,"Missouri, US",3489557.0,623381.0
44.0,Rhode Island,US,2022-04-18,41.6809,-71.5118,"Rhode Island, US",870287.0,168599.0
38.0,North Dakota,US,2022-04-18,47.5289,-99.784,"North Dakota, US",417065.0,76488.0
41.0,Oregon,US,2022-04-18,44.572,-122.0709,"Oregon, US",2928835.0,347995.0
33.0,New Hampshire,US,2022-04-18,43.4525,-71.5639,"New Hampshire, US",940760.0,239773.0
32.0,Nevada,US,2022-04-18,38.3135,-117.0554,"Nevada, US",1865600.0,444634.0
37.0,North Carolina,US,2022-04-18,35.6301,-79.8064,"North Carolina, US",6476986.0,2423429.0
27.0,Minnesota,US,2022-04-18,45.6945,-93.9002,"Minnesota, US",3890827.0,334633.0
26.0,Michigan,US,2022-04-18,43.3266,-84.5361,"Michigan, US",5991370.0,682406.0
31.0,Nebraska,US,2022-04-18,41.1254,-98.2681,"Nebraska, US",1226317.0,130067.0
30.0,Montana,US,2022-04-18,46.9219,-110.4544,"Montana, US",604750.0,90550.0
35.0,New Mexico,US,2022-04-18,34.8405,-106.2485,"New Mexico, US",1483929.0,346340.0
28.0,Mississippi,US,2022-04-18,32.7416,-89.6787,"Mississippi, US",1537397.0,231204.0
39.0,Ohio,US,2022-04-18,40.3888,-82.7649,"Ohio, US",6809277.0,603940.0
34.0,New Jersey,US,2022-04-18,40.2989,-74.521,"New Jersey, US",6835877.0,1309144.0
72.0,Puerto Rico,US,2022-04-18,18.2208,-66.5901,"Puerto Rico, US",2671772.0,381040.0
36.0,New York,US,2022-04-18,42.1657,-74.9481,"New York, US",14908183.0,2587417.0
40.0,Oklahoma,US,2022-04-18,35.5653,-96.9289,"Oklahoma, US",2254452.0,548948.0
1.0,Alabama,US,2022-04-18,32.3182,-86.9023,"Alabama, US",2498711.0,569656.0
19.0,Iowa,US,2022-04-18,42.0115,-93.2105,"Iowa, US",1948652.0,190276.0
24.0,Maryland,US,2022-04-18,39.0639,-76.8021,"Maryland, US",4595758.0,655076.0
,Federal Bureau of Prisons,US,2022-04-18,,,"Federal Bureau of Prisons, US",134162.0,10821.0
11.0,District of Columbia,US,2022-04-18,38.8974,-77.0268,"District of Columbia, US",663509.0,168599.0
78.0,Virgin Islands,US,2022-04-18,18.3358,-64.8963,"Virgin Islands, US",56587.0,12103.0
,Department of Defense,US,2022-04-18,,,"Department of Defense, US",3151597.0,1043947.0
10.0,Delaware,US,2022-04-18,39.3185,-75.5071,"Delaware, US",669710.0,136516.0
51.0,Virginia,US,2022-04-18,37.7693,-78.17,"Virginia, US",6226491.0,1064633.0
9.0,Connecticut,US,2022-04-18,41.5978,-72.7554,"Connecticut, US",2813330.0,581412.0
,Veterans Health Administration,US,2022-04-18,,,"Veterans Health Administration, US",2942121.0,491706.0
8.0,Colorado,US,2022-04-18,39.0598,-105.3111,"Colorado, US",4032152.0,524920.0
6.0,California,US,2022-04-18,36.1162,-119.6816,"California, US",28374782.0,4572635.0
5.0,Arkansas,US,2022-04-18,34.9697,-92.3731,"Arkansas, US",1635667.0,373415.0
54.0,West Virginia,US,2022-04-18,38.4912,-80.9545,"West Virginia, US",1029025.0,132753.0
4.0,Arizona,US,2022-04-18,33.7298,-111.4312,"Arizona, US",4962742.0,832475.0
60.0,American Samoa,US,2022-04-18,-14.271,-170.132,"American Samoa, US",41264.0,3769.0
55.0,Wisconsin,US,2022-04-18,44.2685,-89.6165,"Wisconsin, US",3806607.0,365857.0
2.0,Alaska,US,2022-04-18,61.3707,-152.4044,"Alaska, US",453436.0,55546.0
53.0,Washington,US,2022-04-18,47.4009,-121.4905,"Washington, US",5509923.0,5695139.0
25.0,Massachusetts,US,2022-04-18,42.2302,-71.5301,"Massachusetts, US",5419052.0,1318615.0
12.0,Florida,US,2022-04-18,27.7663,-81.6868,"Florida, US",14337634.0,2633744.0
66.0,Guam,US,2022-04-18,13.4443,144.7937,"Guam, US",138872.0,14337.0
45.0,South Carolina,US,2022-04-18,33.8569,-80.945,"South Carolina, US",2915228.0,547702.0
23.0,Maine,US,2022-04-18,44.6939,-69.3819,"Maine, US",1064345.0,144640.0
22.0,Louisiana,US,2022-04-18,31.1695,-91.8678,"Louisiana, US",2480537.0,349362.0
46.0,South Dakota,US,2022-04-18,44.2998,-99.4388,"South Dakota, US",539766.0,133697.0
21.0,Kentucky,US,2022-04-18,37.6681,-84.6701,"Kentucky, US",2557388.0,391833.0
20.0,Kansas,US,2022-04-18,38.5266,-96.7265,"Kansas, US",1781791.0,382071.0
47.0,Tennessee,US,2022-04-18,35.7478,-86.6923,"Tennessee, US",3709191.0,524383.0
13.0,Georgia,US,2022-04-18,33.0406,-83.6431,"Georgia, US",5784823.0,1133008.0
69.0,Northern Mariana Islands,US,2022-04-18,15.0979,145.6739,"Northern Mariana Islands, US",43857.0,2191.0
48.0,Texas,US,2022-04-18,31.0545,-97.5635,"Texas, US",17740121.0,3348939.0
,Indian Health Services,US,2022-04-18,,,"Indian Health Services, US",867134.0,224674.0
17.0,Illinois,US,2022-04-18,40.3495,-88.9861,"Illinois, US",8681753.0,1012815.0
49.0,Utah,US,2022-04-18,40.15,-111.8624,"Utah, US",2055344.0,251166.0
16.0,Idaho,US,2022-04-18,44.2405,-114.4788,"Idaho, US",962734.0,126607.0
15.0,Hawaii,US,2022-04-18,21.0943,-157.4983,"Hawaii, US",1096104.0,102080.0
50.0,Vermont,US,2022-04-18,44.0459,-72.7107,"Vermont, US",504886.0,76461.0
18.0,Indiana,US,2022-04-18,39.8494,-86.2583,"Indiana, US",3709278.0,444234.0
56.0,Wyoming,US,2022-04-18,42.756,-107.3025,"Wyoming, US",297245.0,42079.0
